Time Stamp, X-axis, Y-axis, Z-axis
13:42:16,-0.0924,0.7303,1.1181
13:42:16,-0.0657,1.1086,1.1718
13:42:16,-0.1558,1.6194,1.2013
13:42:16,-0.0481,1.6588,1.1967
13:42:16,-0.0326,1.4866,1.1723
13:42:16,-0.1333,1.424,1.1577
13:42:16,-0.149,0.9708,1.1315
13:42:16,-0.017,0.0217,0.9464
13:42:16,0.0437,-0.1776,0.9371
13:42:16,-0.0568,-0.4546,0.88
13:42:16,-0.0761,-0.7203,0.793
13:42:16,-0.0629,-1.0335,0.8091
13:42:16,0.0782,-1.3653,0.7259
13:42:16,0.0802,-1.3036,0.79
13:42:16,0.0998,-1.1588,0.7715
13:42:16,0.0554,-1.0357,0.8268
13:42:16,-0.0645,-0.8039,0.8868
13:42:16,-0.0744,0.5132,1.0431
13:42:16,-0.0346,0.8192,1.1639
13:42:16,-0.0367,1.1424,1.1581
13:42:16,-0.1028,1.2984,1.1928
13:42:16,-0.0745,1.498,1.1948
13:42:16,-0.1155,1.5173,1.1717
13:42:16,-0.0673,1.2656,1.172
13:42:16,-0.1603,0.9547,1.1212
13:42:16,-0.0845,0.7682,1.0708
13:42:16,0.0031,0.4251,0.9995
13:42:16,-0.0808,-0.8544,0.8392
13:42:16,0.0296,-1.0638,0.8032
13:42:16,-0.0145,-1.3223,0.7297
13:42:16,-0.1168,-1.4303,0.6791
13:42:16,0.1125,-1.3807,0.7334
13:42:16,0.0664,-0.8875,0.8121
13:42:16,-0.0064,-0.6315,0.9092
13:42:16,-0.0304,-0.3214,0.9615
13:42:16,-0.1009,-0.0198,1.0312
13:42:16,0.0379,0.3122,1.0908
13:42:16,-0.0071,1.4237,1.196
13:42:16,-0.1189,1.4912,1.1798
13:42:16,0.0141,1.6546,1.1904
13:42:16,-0.0266,1.5612,1.2101
13:42:16,-0.1147,1.4722,1.1857
13:42:16,-0.076,0.262,1.0112
13:42:16,-0.1171,-0.0304,0.9256
13:42:16,-0.0433,-0.3705,0.9121
13:42:16,0.049,-0.6555,0.8784
13:42:16,0.0001,-0.9007,0.7883
13:42:16,-0.0424,-1.3646,0.7696
13:42:16,0.1509,-1.3683,0.7553
13:42:16,-0.0696,-1.2432,0.781
13:42:16,0.1328,-0.3427,0.9799
13:42:16,0.0289,0.296,1.0672
13:42:16,0.0114,0.7381,1.1237
13:42:16,-0.0996,0.9282,1.1291
13:42:16,-0.0911,1.2486,1.1455
13:42:16,-0.0881,1.4479,1.1664
13:42:16,-0.0313,1.5432,1.1794
13:42:16,-0.1819,1.6234,1.1584
13:42:16,-0.0201,1.4638,1.1934
13:42:16,-0.1103,1.1551,1.1588
13:42:16,-0.0693,0.9617,1.1494
13:42:16,-0.1104,0.7871,1.1048
13:42:16,0.0009,-0.438,0.9176
13:42:16,0.0401,-0.6489,0.8618
13:42:16,-0.1024,-0.8635,0.7921
13:42:16,-0.0679,-1.1655,0.754
13:42:16,0.1553,-1.2102,0.7379
13:42:16,-0.0127,-1.148,0.7724
13:42:16,0.0825,-0.8472,0.8538
13:42:16,0.0005,-0.5887,0.9037
13:42:16,-0.0408,-0.3399,0.9618
13:42:16,-0.051,-0.0282,1.0419
13:42:16,-0.049,1.2613,1.1557
13:42:16,-0.0077,1.4505,1.2058
13:42:16,-0.0258,1.5111,1.2014
13:42:16,-0.1142,1.6383,1.1899
13:42:16,-0.1173,1.635,1.1667
13:42:16,-0.0381,0.873,1.1114
13:42:16,-0.0794,0.5456,1.0232
13:42:16,-0.1538,0.084,0.9484
13:42:16,0.0307,-0.1662,0.9382
13:42:16,-0.1,-0.5204,0.8902
13:42:17,0.093,-1.3249,0.758
13:42:17,-0.0431,-1.4799,0.6771
13:42:17,-0.0471,-1.4926,0.6925
13:42:17,0.0676,-1.3471,0.7386
13:42:17,0.0187,-1.2512,0.7909
13:42:17,-0.107,0.0796,1.0578
13:42:17,0.0069,0.4435,1.1193
13:42:17,-0.0664,0.7208,1.1198
13:42:17,-0.063,1.0007,1.143
13:42:17,-0.0669,1.2479,1.1334
13:42:17,-0.0185,1.5645,1.1774
13:42:17,-0.1979,1.5446,1.1625
13:42:17,0.0127,0.5875,1.0551
